"","participant","rt","accuracy","item","task","control","AgeGroup","rawrt","condition"
"243",6,7.34400820724262,1,"broccoli","Colour","cong","Younger",1546.9,"6cong"
"245",6,7.61025855446611,1,"orange","Size","cong","Younger",2018.8,"6cong"
"246",6,7.7084555697068,1,"mouth","Size","cong","Younger",2227.1,"6cong"
"247",6,7.39945924354054,1,"coffee","Colour","cong","Younger",1635.1,"6cong"
"248",6,7.53342629441717,1,"ketchup","Colour","cong","Younger",1869.5,"6cong"
"249",6,7.340316612752,1,"rhino","Colour","cong","Younger",1541.2,"6cong"
"250",6,7.31395345166613,1,"wasp","Size","cong","Younger",1501.1,"6cong"
"251",6,7.35058039584738,1,"goose","Size","cong","Younger",1557.1,"6cong"
"252",6,7.36625549696944,1,"donkey","Size","cong","Younger",1581.7,"6cong"
"253",6,7.63380517921779,1,"sunflower","Colour","cong","Younger",2066.9,"6cong"
"254",6,7.45732073106406,1,"gin","Colour","cong","Younger",1732.5,"6cong"
"255",6,7.61179294237326,1,"grass","Colour","cong","Younger",2021.9,"6cong"
"256",6,7.89181680257453,1,"window","Size","cong","Younger",2675.3,"6cong"
"257",6,7.85821552662639,1,"pen","Size","cong","Younger",2586.9,"6cong"
"258",6,7.76463565152468,1,"mop","Size","cong","Younger",2355.8,"6cong"
"259",6,7.68045273830009,1,"snow","Colour","cong","Younger",2165.6,"6cong"
"260",6,7.63839090395307,1,"butter","Colour","cong","Younger",2076.4,"6cong"
"261",6,7.64199641707704,1,"oregano","Colour","cong","Younger",2083.9,"6cong"
"262",6,7.49770626671363,1,"fork","Size","cong","Younger",1803.9,"6cong"
"263",6,7.80909479640308,1,"doctor","Size","cong","Younger",2462.9,"6cong"
"264",6,7.71663895802468,1,"dancer","Size","cong","Younger",2245.4,"6cong"
"265",6,7.45188027314905,1,"rice","Colour","incon","Younger",1723.1,"6incon"
"267",6,7.89465357802024,1,"trumpet","Colour","incon","Younger",2682.9,"6incon"
