participant,Item,Rule,Response,Trial,TrialType,accuracy,rt,Agegroup,Context,accuracy01
38,teeth,ACTION,brush,17,nonswitch,0,X,Older,Dual,0
58,teeth,ACTION,brush,17,nonswitch,0,X,Younger,Dual,0
3,candle,OBJECT,candle,17,SingleNaming,0,X,Younger,Single,0
5,present,ACTION,give,17,SingleNaming,0,X,Younger,Single,0
16,present,ACTION,give,17,SingleNaming,0,X,Younger,Single,0
53,soap,ACTION,wash,17,SingleNaming,0,X,Younger,Single,0
65,present,ACTION,give,17,SingleNaming,0,X,Younger,Single,0
97,soap,ACTION,wash,17,SingleNaming,0,X,Younger,Single,0
21,pen,ACTION,write,18,nonswitch,0,X,Younger,Dual,0
31,pen,ACTION,write,18,nonswitch,0,X,Older,Dual,0
91,pen,ACTION,write,18,nonswitch,0,X,Older,Dual,0
55,toy,OBJECT,toy,18,SingleNaming,0,X,Younger,Single,0
96,toy,OBJECT,toy,18,SingleNaming,0,X,Older,Single,0
31,cup,OBJECT,cup,19,switch,0,X,Older,Dual,0
2,brain,ACTION,think,19,SingleNaming,0,X,Younger,Single,0
5,suitcase,ACTION,pack,19,SingleNaming,0,X,Younger,Single,0
11,ladder,OBJECT,ladder,19,SingleNaming,0,X,Younger,Single,0
34,suitcase,ACTION,pack,19,SingleNaming,0,X,Older,Single,0
47,suitcase,ACTION,pack,19,SingleNaming,0,X,Younger,Single,0
49,suitcase,ACTION,pack,19,SingleNaming,0,X,Older,Single,0
83,suitcase,ACTION,pack,19,SingleNaming,0,X,Older,Single,0
91,ladder,OBJECT,ladder,19,SingleNaming,0,X,Older,Single,0
5,cup,OBJECT,cup,20,nonswitch,0,X,Younger,Dual,0
58,knife,OBJECT,knife,20,nonswitch,0,X,Younger,Dual,0
83,plane,ACTION,fly,20,SingleNaming,0,X,Older,Single,0
3,cake,ACTION,bake,21,switch,0,X,Younger,Dual,0
16,cake,ACTION,bake,21,switch,0,X,Younger,Dual,0
34,cake,ACTION,bake,21,switch,0,X,Older,Dual,0
49,cake,ACTION,bake,21,switch,0,X,Older,Dual,0
74,cake,ACTION,bake,21,switch,0,X,Older,Dual,0
78,cake,ACTION,bake,21,switch,0,X,Older,Dual,0
92,cake,ACTION,bake,21,switch,0,X,Older,Dual,0
97,cake,OBJECT,cake,21,nonswitch,0,X,Younger,Dual,0
2,brain,ACTION,think,22,switch,0,X,Younger,Dual,0
5,newspaper,ACTION,read,22,nonswitch,0,X,Younger,Dual,0
47,newspaper,ACTION,read,22,nonswitch,0,X,Younger,Dual,0
16,present,OBJECT,present,22,SingleNaming,0,X,Younger,Single,0
84,strawberry,ACTION,eat,22,SingleNaming,0,X,Older,Single,0
3,trophy,OBJECT,trophy,23,switch,0,X,Younger,Dual,0
5,trophy,OBJECT,trophy,23,switch,0,X,Younger,Dual,0
51,suitcase,OBJECT,suitcase,23,switch,0,X,Older,Dual,0
54,trophy,OBJECT,trophy,23,switch,0,X,Older,Dual,0
5,present,OBJECT,present,24,nonswitch,0,X,Younger,Dual,0
13,present,OBJECT,present,24,nonswitch,0,X,Younger,Dual,0
2,brain,ACTION,think,24,SingleNaming,0,X,Younger,Single,0
16,teeth,OBJECT,teeth,24,SingleNaming,0,X,Younger,Single,0
95,brain,ACTION,think,24,SingleNaming,0,X,Older,Single,0
5,ladder,OBJECT,ladder,25,nonswitch,0,X,Younger,Dual,0
9,cup,OBJECT,cup,25,nonswitch,0,X,Younger,Dual,0
96,cup,OBJECT,cup,25,nonswitch,0,X,Older,Dual,0
5,newspaper,OBJECT,newspaper,25,SingleNaming,0,X,Younger,Single,0
57,cake,ACTION,bake,25,SingleNaming,0,X,Younger,Single,0
78,newspaper,OBJECT,newspaper,25,SingleNaming,0,X,Older,Single,0
5,present,ACTION,give,26,SingleNaming,0,X,Younger,Single,0
16,candle,OBJECT,candle,26,SingleNaming,0,X,Younger,Single,0
34,present,ACTION,give,26,SingleNaming,0,X,Older,Single,0
35,present,ACTION,give,26,SingleNaming,0,X,Older,Single,0
54,present,ACTION,give,26,SingleNaming,0,X,Older,Single,0
13,knife,ACTION,cut,27,switch,0,X,Younger,Dual,0
9,suitcase,ACTION,pack,27,SingleNaming,0,X,Younger,Single,0
91,suitcase,ACTION,pack,27,SingleNaming,0,X,Older,Single,0
3,candle,ACTION,light,28,nonswitch,0,X,Younger,Dual,0
5,candle,ACTION,light,28,nonswitch,0,X,Younger,Dual,0
28,soap,ACTION,wash,28,nonswitch,0,X,Older,Dual,0
47,candle,ACTION,light,28,nonswitch,0,X,Younger,Dual,0
48,soap,ACTION,wash,28,nonswitch,0,X,Older,Dual,0
53,soap,ACTION,wash,28,nonswitch,0,X,Younger,Dual,0
5,suitcase,ACTION,pack,28,SingleNaming,0,X,Younger,Single,0
15,teeth,ACTION,brush,28,SingleNaming,0,X,Younger,Single,0
16,plane,OBJECT,plane,28,SingleNaming,0,X,Younger,Single,0
