Task,participant,item,rule,Difficulty,TrialType,accuracy,rt,AgeGroup,rawrt
Bilingual,20,eye,L2,low,nonswitch,1,7.52666371,Younger,1856.9
Bilingual,20,teeth,L2,low,nonswitch,1,7.144170372,Younger,1266.7
Bilingual,25,knife,L2,low,nonswitch,1,6.790996718,Older,889.8
Bilingual,25,plane,L2,low,nonswitch,1,7.289747031,Older,1465.2
Bilingual,25,cake,L2,low,nonswitch,1,7.564964353,Older,1929.4
Bilingual,25,newspaper,L2,low,nonswitch,1,7.028290081,Older,1128.1
Bilingual,25,soap,L2,low,nonswitch,1,7.020905377,Older,1119.8
Bilingual,25,cup,L2,low,nonswitch,1,7.035708643,Older,1136.5
Bilingual,25,horse,L2,low,nonswitch,1,7.085985143,Older,1195.1
Bilingual,25,knife,L2,low,nonswitch,1,6.970730078,Older,1065
Bilingual,25,candle,L2,low,nonswitch,1,7.089326554,Older,1199.1
Bilingual,25,trophy,L2,low,nonswitch,1,7.215607558,Older,1360.5
Bilingual,25,strawberry,L2,low,nonswitch,1,7.344912834,Older,1548.3
Bilingual,25,eye,L2,low,nonswitch,1,6.849808319,Older,943.7
Bilingual,25,broom,L2,low,nonswitch,1,7.024471079,Older,1123.8
Bilingual,25,brain,L2,low,nonswitch,1,6.775366091,Older,876
Bilingual,25,present,L2,low,nonswitch,1,7.267176449,Older,1432.5
Bilingual,25,brain,L2,low,nonswitch,1,6.958163182,Older,1051.7
Bilingual,25,coat,L2,low,nonswitch,1,6.979889877,Older,1074.8
Bilingual,25,ladder,L2,low,nonswitch,1,6.889183893,Older,981.6
Bilingual,25,newspaper,L2,low,nonswitch,1,6.960347729,Older,1054
Bilingual,25,soap,L2,low,nonswitch,1,7.064588073,Older,1169.8
Bilingual,25,coat,L2,low,nonswitch,1,6.679975999,Older,796.3
Bilingual,25,toy,L2,low,nonswitch,1,6.966118522,Older,1060.1
Bilingual,25,suitcase,L2,low,nonswitch,1,7.152582041,Older,1277.4
Bilingual,25,horse,L2,low,nonswitch,1,6.970166539,Older,1064.4
Bilingual,25,suitcase,L2,low,nonswitch,1,6.978027332,Older,1072.8
Bilingual,25,trophy,L2,low,nonswitch,1,6.874922122,Older,967.7
Bilingual,25,broom,L2,low,nonswitch,1,7.068172,Older,1174
Bilingual,25,cake,L2,low,nonswitch,1,7.248361815,Older,1405.8
Bilingual,25,strawberry,L2,low,nonswitch,1,6.716352613,Older,825.8
Bilingual,25,present,L2,low,nonswitch,1,6.977001452,Older,1071.7
Bilingual,25,ladder,L2,low,nonswitch,1,6.802172516,Older,899.8
Bilingual,25,pen,L2,low,nonswitch,1,6.684361696,Older,799.8
Bilingual,25,cup,L2,low,nonswitch,1,6.754604099,Older,858
Bilingual,25,plane,L2,low,nonswitch,1,6.938381473,Older,1031.1
Bilingual,25,candle,L2,low,nonswitch,1,7.163714459,Older,1291.7
Bilingual,25,eye,L2,low,nonswitch,1,6.89891633,Older,991.2
Bilingual,25,teeth,L2,low,nonswitch,1,7.362074041,Older,1575.1
Bilingual,21,knife,L2,low,nonswitch,1,6.793690323,Younger,892.2
Bilingual,21,plane,L2,low,nonswitch,1,6.708816416,Younger,819.6
Bilingual,21,cake,L2,low,nonswitch,1,7.016161153,Younger,1114.5
Bilingual,21,newspaper,L2,low,nonswitch,1,7.277938573,Younger,1448
Bilingual,21,teeth,L2,low,nonswitch,1,7.340381495,Younger,1541.3
Bilingual,21,pen,L2,low,nonswitch,1,7.63467567,Younger,2068.7
Bilingual,21,soap,L2,low,nonswitch,1,6.871817172,Younger,964.7
Bilingual,21,cup,L2,low,nonswitch,1,6.76480827,Younger,866.8
Bilingual,21,horse,L2,low,nonswitch,1,7.401780564,Younger,1638.9
Bilingual,21,knife,L2,low,nonswitch,1,6.974385361,Younger,1068.9
Bilingual,21,candle,L2,low,nonswitch,1,7.069959159,Younger,1176.1
Bilingual,21,strawberry,L2,low,nonswitch,1,7.072167415,Younger,1178.7
Bilingual,21,eye,L2,low,nonswitch,1,7.098045005,Younger,1209.6
Bilingual,21,broom,L2,low,nonswitch,1,7.424403916,Younger,1676.4
Bilingual,21,brain,L2,low,nonswitch,1,6.784683281,Younger,884.2
Bilingual,21,present,L2,low,nonswitch,1,6.657625863,Younger,778.7
Bilingual,21,brain,L2,low,nonswitch,1,6.853510264,Younger,947.2
Bilingual,21,coat,L2,low,nonswitch,1,6.750984503,Younger,854.9
Bilingual,21,ladder,L2,low,nonswitch,1,7.078172931,Younger,1185.8
Bilingual,21,newspaper,L2,low,nonswitch,1,6.764346696,Younger,866.4
Bilingual,21,soap,L2,low,nonswitch,1,6.797940413,Younger,896
Bilingual,21,coat,L2,low,nonswitch,1,6.834754386,Younger,929.6
Bilingual,21,toy,L2,low,nonswitch,1,6.985364258,Younger,1080.7
Bilingual,21,suitcase,L2,low,nonswitch,1,6.856672489,Younger,950.2
Bilingual,21,horse,L2,low,nonswitch,1,7.29220102,Younger,1468.8
Bilingual,21,suitcase,L2,low,nonswitch,1,6.722148331,Younger,830.6
Bilingual,21,broom,L2,low,nonswitch,1,7.15672251,Younger,1282.7
Bilingual,21,cake,L2,low,nonswitch,1,6.812565092,Younger,909.2
Bilingual,21,strawberry,L2,low,nonswitch,1,6.795593912,Younger,893.9
Bilingual,21,toy,L2,low,nonswitch,1,7.206154715,Younger,1347.7
Bilingual,21,present,L2,low,nonswitch,1,7.065954894,Younger,1171.4
Bilingual,21,ladder,L2,low,nonswitch,1,6.829577498,Younger,924.8
Bilingual,21,pen,L2,low,nonswitch,1,6.763191828,Younger,865.4
Bilingual,21,cup,L2,low,nonswitch,1,6.773080376,Younger,874
Bilingual,21,plane,L2,low,nonswitch,1,6.881821897,Younger,974.4
Bilingual,21,candle,L2,low,nonswitch,1,6.989150917,Younger,1084.8
Bilingual,21,eye,L2,low,nonswitch,1,7.060648025,Younger,1165.2
Bilingual,21,teeth,L2,low,nonswitch,1,7.101099199,Younger,1213.3
Bilingual,24,knife,L2,low,nonswitch,1,6.859929649,Younger,953.3
Bilingual,24,plane,L2,low,nonswitch,1,6.897199765,Younger,989.5
Bilingual,24,cake,L2,low,nonswitch,1,6.602994865,Younger,737.3
Bilingual,24,teeth,L2,low,nonswitch,1,7.046647278,Younger,1149
Bilingual,24,pen,L2,low,nonswitch,1,7.064673554,Younger,1169.9
Bilingual,24,soap,L2,low,nonswitch,1,6.878017461,Younger,970.7
Bilingual,24,cup,L2,low,nonswitch,1,6.995033287,Younger,1091.2
Bilingual,24,horse,L2,low,nonswitch,1,7.128255339,Younger,1246.7
Bilingual,24,knife,L2,low,nonswitch,1,7.042985228,Younger,1144.8
Bilingual,24,candle,L2,low,nonswitch,1,6.967815035,Younger,1061.9
Bilingual,24,trophy,L2,low,nonswitch,1,7.008595594,Younger,1106.1
Bilingual,24,strawberry,L2,low,nonswitch,1,6.879252919,Younger,971.9
Bilingual,24,eye,L2,low,nonswitch,1,7.005607679,Younger,1102.8
Bilingual,24,broom,L2,low,nonswitch,1,7.075216973,Younger,1182.3
Bilingual,24,brain,L2,low,nonswitch,1,6.77730485,Younger,877.7
Bilingual,24,present,L2,low,nonswitch,1,6.648466281,Younger,771.6
Bilingual,24,brain,L2,low,nonswitch,1,6.799055862,Younger,897
Bilingual,24,coat,L2,low,nonswitch,1,6.805722553,Younger,903
Bilingual,24,ladder,L2,low,nonswitch,1,6.886735912,Younger,979.2
Bilingual,24,newspaper,L2,low,nonswitch,1,6.713806386,Younger,823.7
Bilingual,24,soap,L2,low,nonswitch,1,6.677712986,Younger,794.5
Bilingual,24,coat,L2,low,nonswitch,1,6.842042736,Younger,936.4
Bilingual,24,toy,L2,low,nonswitch,1,6.7289874,Younger,836.3
Bilingual,24,suitcase,L2,low,nonswitch,1,6.802839109,Younger,900.4
Bilingual,24,horse,L2,low,nonswitch,1,6.783551676,Younger,883.2
Bilingual,24,suitcase,L2,low,nonswitch,1,6.771935556,Younger,873
