participant,rt,accuracy,item,task,control,AgeGroup
5,1703.8,1,coffee,Colour,cong,Younger
5,1871.4,1,ketchup,Colour,cong,Younger
5,1221,1,rhino,Colour,cong,Younger
5,1104.6,1,wasp,Size,cong,Younger
5,1704.4,1,goose,Size,cong,Younger
5,1487.5,1,donkey,Size,cong,Younger
5,1555.5,1,sunflower,Colour,cong,Younger
5,1822.1,1,gin,Colour,cong,Younger
5,1405.2,1,grass,Colour,cong,Younger
5,2970.7,1,window,Size,cong,Younger
5,2138.6,1,pen,Size,cong,Younger
5,1737.9,1,mop,Size,cong,Younger
5,1539,1,snow,Colour,cong,Younger
5,2089.6,1,butter,Colour,cong,Younger
5,9171.6,0,oregano,Colour,cong,Younger
5,2888.3,0,fork,Size,cong,Younger
5,1856.3,1,doctor,Size,cong,Younger
5,2090.8,1,dancer,Size,cong,Younger
5,2721.1,1,rice,Colour,incon,Younger
5,2171,1,tar,Colour,incon,Younger
5,1620.3,0,trumpet,Colour,incon,Younger
5,1439.1,0,diary,Size,incon,Younger
5,1820.4,0,gun,Size,incon,Younger
5,3637.8,1,football,Size,incon,Younger
5,1720.8,1,cranberry,Colour,incon,Younger
5,2304.8,0,cloud,Colour,incon,Younger
5,1086.5,0,chalk,Colour,incon,Younger
5,2872.6,1,handbag,Size,incon,Younger
5,9971.4,0,cup,Size,incon,Younger
5,1088.3,0,tribe,Size,incon,Younger
5,2704.7,1,highlighter,Colour,incon,Younger
5,2371.8,1,paper,Colour,incon,Younger
5,3289.1,1,lion,Colour,incon,Younger
5,2605.2,1,pencil,Size,incon,Younger
5,18337.2,0,theatre,Size,incon,Younger
5,2138,0,lighter,Size,incon,Younger
5,2538.2,0,blackboard,Colour,incon,Younger
5,1804.9,0,bread,Colour,incon,Younger
5,2488.2,1,dove,Colour,incon,Younger
5,2620.6,0,stool,Size,incon,Younger
5,2154.4,1,chair,Size,incon,Younger
5,2503.3,1,box,Size,incon,Younger
6,1661.3,1,ham,Colour,cong,Younger
6,2826.5,1,blood,Colour,cong,Younger
6,1546.9,1,broccoli,Colour,cong,Younger
6,2068.4,0,hammer,Size,cong,Younger
6,2018.8,1,orange,Size,cong,Younger
6,2227.1,1,mouth,Size,cong,Younger
6,1635.1,1,coffee,Colour,cong,Younger
6,1869.5,1,ketchup,Colour,cong,Younger
6,1541.2,1,rhino,Colour,cong,Younger
6,1501.1,1,wasp,Size,cong,Younger
6,1557.1,1,goose,Size,cong,Younger
