"","participant","Item","Rule","Response","Trial","TrialType","accuracy","rt","Agegroup","Context","accuracy01","Rule_coded","Agegroup_coded","rawrt","condition"
"5534",2,"ladder","OBJECT","ladder",19,"SingleNaming",1,6.51708025634661,"Younger","Single",1,-0.5,-0.5,676.6,"2SingleNamingOBJECT"
"5807",2,"plane","OBJECT","plane",20,"SingleNaming",1,6.69542802010178,"Younger","Single",1,-0.5,-0.5,808.7,"2SingleNamingOBJECT"
"6072",2,"teeth","OBJECT","teeth",21,"SingleNaming",1,6.79425057818532,"Younger","Single",1,-0.5,-0.5,892.7,"2SingleNamingOBJECT"
"6352",2,"coat","OBJECT","coat",22,"SingleNaming",1,6.90062995403955,"Younger","Single",1,-0.5,-0.5,992.9,"2SingleNamingOBJECT"
"6623",2,"cake","OBJECT","cake",23,"SingleNaming",1,6.89740186690265,"Younger","Single",1,-0.5,-0.5,989.7,"2SingleNamingOBJECT"
"6905",2,"toy","OBJECT","toy",24,"SingleNaming",1,6.65234676708065,"Younger","Single",1,-0.5,-0.5,774.6,"2SingleNamingOBJECT"
"7189",2,"strawberry","OBJECT","strawberry",25,"SingleNaming",1,6.58575777611524,"Younger","Single",1,-0.5,-0.5,724.7,"2SingleNamingOBJECT"
"7468",2,"plane","OBJECT","plane",26,"SingleNaming",1,6.40191719672719,"Younger","Single",1,-0.5,-0.5,603,"2SingleNamingOBJECT"
"7749",2,"knife","OBJECT","knife",27,"SingleNaming",1,6.47527862162712,"Younger","Single",1,-0.5,-0.5,648.9,"2SingleNamingOBJECT"
"8027",2,"suitcase","OBJECT","suitcase",28,"SingleNaming",1,6.4831073514572,"Younger","Single",1,-0.5,-0.5,654,"2SingleNamingOBJECT"
"8297",2,"trophy","OBJECT","trophy",29,"SingleNaming",1,6.33647168617903,"Younger","Single",1,-0.5,-0.5,564.8,"2SingleNamingOBJECT"
"8575",2,"ladder","OBJECT","ladder",30,"SingleNaming",1,6.35628125673834,"Younger","Single",1,-0.5,-0.5,576.1,"2SingleNamingOBJECT"
"8850",2,"eye","OBJECT","eye",31,"SingleNaming",1,6.3173451758733,"Younger","Single",1,-0.5,-0.5,554.1,"2SingleNamingOBJECT"
"9126",2,"newspaper","OBJECT","newspaper",32,"SingleNaming",1,6.40671495595094,"Younger","Single",1,-0.5,-0.5,605.9,"2SingleNamingOBJECT"
"9406",2,"candle","OBJECT","candle",33,"SingleNaming",1,6.56244409369372,"Younger","Single",1,-0.5,-0.5,708,"2SingleNamingOBJECT"
"9689",2,"present","OBJECT","present",34,"SingleNaming",1,6.7843439340669,"Younger","Single",1,-0.5,-0.5,883.9,"2SingleNamingOBJECT"
"9960",2,"horse","OBJECT","horse",35,"SingleNaming",1,6.59769125563723,"Younger","Single",1,-0.5,-0.5,733.4,"2SingleNamingOBJECT"
"10243",2,"brain","OBJECT","brain",36,"SingleNaming",1,6.30791627555584,"Younger","Single",1,-0.5,-0.5,548.9,"2SingleNamingOBJECT"
"10525",2,"cup","OBJECT","cup",37,"SingleNaming",1,6.61056144615776,"Younger","Single",1,-0.5,-0.5,742.9,"2SingleNamingOBJECT"
"10813",2,"pen","OBJECT","pen",38,"SingleNaming",1,6.93537044601511,"Younger","Single",1,-0.5,-0.5,1028,"2SingleNamingOBJECT"
"11097",2,"soap","OBJECT","soap",39,"SingleNaming",1,6.36647044773144,"Younger","Single",1,-0.5,-0.5,582,"2SingleNamingOBJECT"
"11370",2,"broom","OBJECT","broom",40,"SingleNaming",1,6.87067627074072,"Younger","Single",1,-0.5,-0.5,963.6,"2SingleNamingOBJECT"
"647",2,"teeth","ACTION","brush",1,"SingleNaming",1,6.97774765080217,"Younger","Single",1,0.5,-0.5,1072.5,"2SingleNamingACTION"
"936",2,"strawberry","ACTION","eat",2,"SingleNaming",1,7.59307188042689,"Younger","Single",1,0.5,-0.5,1984.4,"2SingleNamingACTION"
"1200",2,"cup","ACTION","drink",3,"SingleNaming",1,7.32059314141971,"Younger","Single",1,0.5,-0.5,1511.1,"2SingleNamingACTION"
